MCHT_NO,MCHT_NM,CERT
001310189110003,上海宏炎投资管理有限公司,公司
001310148120003,上海闻讯投资管理咨询有限公司,公司
001110173920001,万盛信合（北京）投资有限公司,公司
001430173990001,湖南一路有你创业投资管理有限公司,公司
001310159980001,上海胥隆投资管理有限公司,公司
002310173920002,上海超量投资咨询有限公司,公司
001440386990001,深圳市苏荷文化投资发展有限公司紫荆会分公司,公司
001440380990001,深圳铭德堂医疗投资有限公司,公司
002320572770001,昆山东博投资管理有限公司,公司
001440353990003,深圳市大马御燕投资有限公司,公司
002330373750001,永嘉玉龙投资理财咨询有限公司,公司
002320573920002,苏州贵盈投资咨询有限公司,公司
001440389990001,深圳市上品管理投资有限公司,公司
002310165130001,上海源力投资管理有限公司,公司
008004354410008,攸县吉利财富金融投资管理服务有限公司,公司
008440300000125,深圳市霖丰源投资有限公司,公司
001440373920001,深圳市寰球众达投资咨询有限公司,公司
007440362110001,深圳市钰丰投资有限公司,公司
008440300000318,深圳市妙善投资管理有限公司,公司
002320589310001,江苏省苏州贵盈投资太仓店,公司
008005073990006,重庆捷众投资咨询有限公司,公司
008430100000326,长沙市光典投资咨询有限公司,公司
008520172990062,贵州保鑫投资有限公司,公司
008450100000183,广西蓝睿投资管理有限公司,公司
008520189990017,贵州瀚霖银投资产管理有限公司,公司
008520173210015,贵阳市南明区聚财理财咨询服务部,公司
002320573920005,昆山聚众房产投资咨询有限公司,公司
008320600000137,南通永尚投资管理有限公司,公司
008320500001467,苏州聚通投资咨询有限公司,公司
008321000000019,扬州和谐投资理财咨询有限公司,公司
008320500001123,昆山东博投资管理有限公司,公司
008320500001038,苏州利先达房地产投资顾问有限公司,公司
008610300000040,宝鸡市以琳投资咨询有限公司,公司
008510172991455,成都众和鑫城投资管理有限责任公司,公司
008310100000755,上海钰阳投资管理有限公司,公司
008310100000834,上海海讯投资管理有限公司,公司
008440300000350,深圳市旭龙建设投资有限公司,公司
008310100002261,上海葆光投资管理有限公司,公司
008310100002263,捷付瑞（上海）投资管理有限公司,公司
008150600001203,内蒙古咏利财富投资管理有限责任公司,公司
008150659980161,内蒙古好收付金融服务有限公司,公司
008310100002726,上海盈澜投资管理有限公司,公司
008350200000416,厦门瑞鑫通投资咨询有限公司,公司
008350600000127,漳州台商投资区角美绿力美家百货经营部,公司
008350200000061,厦门市麒云投资资询有限公司,公司
008320573210029,张家港鼎峰投资咨询有限公司,公司
008440300000541,深圳市中昊恒基房地产投资顾问有限公司,公司
008440300002377,深圳市盛汇天下餐饮投资管理有限公司,公司
008441900000207,东莞市炜越实业投资有限公司,公司
